onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.033784000000002	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11.033783999999999	2.0	VisualSearchHard	visualSearch2	1.0	1.6	0.60219	1.0	12.0	n/a	7	3.0	1.0	0.0	1.0	1.0	57.0	12.0	0.0	0.03219	-0.008282409000000001
13.002974	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.49535	1.0	12.0	n/a	7	3.0	1.0	0.0	2.0	1.0	57.0	14.0	2.0	2.00138	1.992486
15.002554	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.53172	1.0	12.0	n/a	7	3.0	1.0	0.0	3.0	1.0	57.0	16.0	4.0	4.00096	3.992558
17.004234	2.0	VisualSearchHard	visualSearch2	1.0	1.6	0.60051	1.0	12.0	n/a	7	3.0	1.0	0.0	4.0	1.0	57.0	18.0	6.0	6.00264	5.992324
19.003444000000002	2.0	VisualSearchHard	visualSearch2	2.0	1.6	0.57201	1.0	12.0	n/a	7	3.0	1.0	0.0	5.0	1.0	57.0	20.0	8.0	8.00185	7.992650999999999
21.002794	2.0	VisualSearchMed	visualSearch2	2.0	1.6	0.5695899999999999	1.0	8.0	n/a	7	2.0	1.0	0.0	6.0	1.0	57.0	22.0	10.0	10.0012	9.991519
23.003194	2.0	VisualSearchMed	visualSearch2	2.0	1.6	0.52364	1.0	8.0	n/a	7	2.0	1.0	0.0	7.0	1.0	57.0	24.0	12.0	12.0016	11.99163
25.003094	2.0	VisualSearchMed	visualSearch2	2.0	1.6	0.53333	1.0	8.0	n/a	7	2.0	1.0	0.0	8.0	1.0	57.0	26.0	14.0	14.0015	13.99247
27.002194	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.46448	1.0	8.0	n/a	7	2.0	0.0	1.0	9.0	1.0	57.0	28.0	16.0	16.0006	15.99191
29.002494	2.0	VisualSearchMed	visualSearch2	1.0	1.6	0.5771	1.0	8.0	n/a	7	2.0	1.0	0.0	10.0	1.0	57.0	30.0	18.0	18.0009	17.99053
31.003694	2.0	VisualSearchEasy	visualSearch2	2.0	1.6	0.64532	1.0	4.0	n/a	7	1.0	1.0	0.0	11.0	1.0	57.0	32.0	20.0	20.0021	19.99044
33.001994	2.0	VisualSearchEasy	visualSearch2	2.0	1.6	0.6322300000000001	1.0	4.0	n/a	7	1.0	1.0	0.0	12.0	1.0	57.0	34.0	22.0	22.0004	21.99164
35.003194	2.0	VisualSearchEasy	visualSearch2	1.0	1.6	0.48534	1.0	4.0	n/a	7	1.0	1.0	0.0	13.0	1.0	57.0	36.0	24.0	24.0016	23.99121
37.003794	2.0	VisualSearchEasy	visualSearch2	1.0	1.6	0.5626800000000001	1.0	4.0	n/a	7	1.0	1.0	0.0	14.0	1.0	57.0	38.0	26.0	26.0022	25.99089
39.003494	2.0	VisualSearchEasy	visualSearch2	1.0	1.6	0.48579	1.0	4.0	n/a	7	1.0	0.0	1.0	15.0	1.0	57.0	40.0	28.0	28.0019	27.99138
41.1002912	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	7	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
46.1002912	5.0	Prediction	prediction	1.0	4.8	0.59105	2.0	n/a	n/a	7	1.0	1.0	0.0	1.0	1.0	57.0	47.0	0.0	0.0161912	-0.002795352
51.086000000000006	5.0	PredictViol	prediction	2.0	4.8	0.82355	2.0	n/a	n/a	7	2.0	1.0	0.0	2.0	1.0	57.0	52.0	5.0	5.0019	4.996773
56.0848	5.0	Prediction	prediction	1.0	4.8	0.35798	2.0	n/a	n/a	7	1.0	1.0	0.0	3.0	1.0	57.0	57.0	10.0	10.0007	9.995548
61.0852	5.0	PredictScram	prediction	2.0	4.8	0.44061999999999996	2.0	n/a	n/a	7	3.0	1.0	0.0	4.0	1.0	57.0	62.0	15.0	15.0011	14.9961
66.0848	5.0	PredictViol	prediction	2.0	4.8	0.0040149999999999995	2.0	n/a	n/a	7	2.0	1.0	0.0	5.0	1.0	57.0	67.0	20.0	20.0007	19.99631
