onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.0220052	5	Instruct	instruct	n/a	5	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
11.0220052	2	VisualSearchEasy	visualSearch	1	1.6	0.68251	1	4	n/a	2	n/a	1	0	1	1	60	12	0	0.0216672	-0.04917618
13.000578	2	VisualSearchEasy	visualSearch	2	1.6	0.83005	1	4	n/a	2	n/a	1	0	2	1	60	14	2	2.00024	1.951511
15.001018	2	VisualSearchEasy	visualSearch	2	1.6	0.45501	1	4	n/a	2	n/a	1	0	3	1	60	16	4	4.00068	3.950979
17.001318	2	VisualSearchEasy	visualSearch	1	1.6	0.52609	1	4	n/a	2	n/a	1	0	4	1	60	18	6	6.00098	5.950165
19.001618	2	VisualSearchEasy	visualSearch	2	1.6	0.51721	1	4	n/a	2	n/a	1	0	5	1	60	20	8	8.00128	7.950141
21.000438	2	VisualSearchMed	visualSearch	2	1.6	0.88526	1	8	n/a	2	n/a	1	0	6	1	60	22	10	10.0001	9.949155
23.000738	2	VisualSearchMed	visualSearch	2	1.6	1.0313	1	8	n/a	2	n/a	1	0	7	1	60	24	12	12.0004	11.95011
25.000838	2	VisualSearchMed	visualSearch	1	1.6	0.5469	1	8	n/a	2	n/a	1	0	8	1	60	26	14	14.0005	13.94962
27.000738	2	VisualSearchMed	visualSearch	1	1.6	0.51669	1	8	n/a	2	n/a	1	0	9	1	60	28	16	16.0004	15.94955
29.000538	2	VisualSearchMed	visualSearch	1	1.6	0.57592	1	8	n/a	2	n/a	1	0	10	1	60	30	18	18.0002	17.95093
31.001538	2	VisualSearchHard	visualSearch	1	1.6	0.58819	1	12	n/a	2	n/a	1	0	11	1	60	32	20	20.0012	19.95048
33.000738	2	VisualSearchHard	visualSearch	2	1.6	0.72789	1	12	n/a	2	n/a	1	0	12	1	60	34	22	22.0004	21.95052
35.001638	2	VisualSearchHard	visualSearch	1	1.6	0.77995	1	12	n/a	2	n/a	1	0	13	1	60	36	24	24.0013	23.95173
37.001538	2	VisualSearchHard	visualSearch	2	1.6	1.1872	1	12	n/a	2	n/a	1	0	14	1	60	38	26	26.0012	25.94985
39.001338	2	VisualSearchHard	visualSearch	1	1.6	0.57996	1	12	n/a	2	n/a	1	0	15	1	60	40	28	28.001	27.95049
41.68608598	5	Instruct	instruct	n/a	5	n/a	n/a	n/a	n/a	2	n/a	n/a	n/a	0	n/a	n/a	n/a	n/a	n/a	n/a
