onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.001402572000001	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11.001402572	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	1.0	0.0	53.0	12.0	0.0	0.000102572	-0.001940575
13.00376	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	2.0	0.0	53.0	14.0	2.0	2.00246	1.997226
15.002410000000001	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	3.0	0.0	53.0	16.0	4.0	4.00111	3.997459
17.001559999999998	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	4.0	0.0	53.0	18.0	6.0	6.00026	5.997262
19.00185	2.0	Verbal2Back	nBack	n/a	1.6	0.38306	1.0	n/a	1.0	3	n/a	1.0	n/a	5.0	1.0	53.0	20.0	8.0	8.00055	7.9973899999999984
21.0015	2.0	Verbal2Back	nBack	n/a	1.6	0.6832	1.0	n/a	1.0	3	n/a	1.0	n/a	6.0	1.0	53.0	22.0	10.0	10.0002	9.996965
23.0028	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	7.0	0.0	53.0	24.0	12.0	12.0015	11.99733
25.0024	2.0	Verbal2Back	nBack	n/a	1.6	0.30583	1.0	n/a	1.0	3	n/a	1.0	n/a	8.0	1.0	53.0	26.0	14.0	14.0011	13.99729
27.0018	2.0	Verbal2Back	nBack	n/a	1.6	0.55278	1.0	n/a	1.0	3	n/a	1.0	n/a	9.0	1.0	53.0	28.0	16.0	16.0005	15.99789
29.0018	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	10.0	0.0	53.0	30.0	18.0	18.0005	17.99745
31.0017	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	11.0	0.0	53.0	32.0	20.0	20.0004	19.99705
33.0029	2.0	Verbal2Back	nBack	n/a	1.6	0.34041	1.0	n/a	1.0	3	n/a	1.0	n/a	12.0	1.0	53.0	34.0	22.0	22.0016	21.99818
35.0039	2.0	Verbal2Back	nBack	n/a	1.6	0.35661	1.0	n/a	1.0	3	n/a	1.0	n/a	13.0	1.0	53.0	36.0	24.0	24.0026	23.996
37.0039	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	14.0	0.0	53.0	38.0	26.0	26.0026	25.99648
39.0037	2.0	Verbal2Back	nBack	n/a	1.6	0.0	1.0	n/a	0.0	3	n/a	0.0	n/a	15.0	0.0	53.0	40.0	28.0	28.0024	27.99637
41.148647873	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
46.148647873	15.0	VideoActions	actionObservation	1.0	14.0	n/a	2.0	n/a	n/a	3	knotActionGadfly.mov   	n/a	n/a	1.0	n/a	53.0	47.0	0.0	3.7873e-05	-0.05967591
61.20341	15.0	VideoKnots	actionObservation	2.0	14.0	n/a	2.0	n/a	n/a	3	knotControlGadfly.mov  	n/a	n/a	2.0	n/a	53.0	57.0	15.0	15.0548	9.944201
76.34646909	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
81.34646909	3.0	DigitJudgement	arithmetic	2.0	2.6	0.68987	3.0	n/a	n/a	3	1.0	1.0	0.0	1.0	1.0	53.0	65.0	0.0	0.00124909	-0.02993148
84.34657	3.0	DigitJudgement	arithmetic	2.0	2.6	0.6439	3.0	n/a	n/a	3	0.0	1.0	0.0	2.0	1.0	53.0	68.0	3.0	3.00135	2.991439
87.34609999999998	3.0	DigitJudgement	arithmetic	2.0	2.6	0.64082	3.0	n/a	n/a	3	0.0	1.0	0.0	3.0	1.0	53.0	71.0	6.0	6.00088	5.992877
90.34783	3.0	DigitJudgement	arithmetic	2.0	2.6	0.4645	3.0	n/a	n/a	3	0.0	1.0	0.0	4.0	1.0	53.0	74.0	9.0	9.00261	8.993568
93.34532	3.0	DigitJudgement	arithmetic	2.0	2.6	0.5569	3.0	n/a	n/a	3	1.0	1.0	0.0	5.0	1.0	53.0	77.0	12.0	12.0001	11.99331
96.34782	3.0	Math	arithmetic	1.0	2.6	1.035	3.0	n/a	n/a	3	1.0	1.0	0.0	6.0	1.0	53.0	80.0	15.0	15.0026	14.99218
99.34612	3.0	Math	arithmetic	1.0	2.6	0.8633700000000001	3.0	n/a	n/a	3	0.0	1.0	0.0	7.0	1.0	53.0	83.0	18.0	18.0009	17.99221
102.34602	3.0	Math	arithmetic	1.0	2.6	0.78494	3.0	n/a	n/a	3	1.0	1.0	0.0	8.0	1.0	53.0	86.0	21.0	21.0008	20.99251
105.34552	3.0	Math	arithmetic	1.0	2.6	0.91286	3.0	n/a	n/a	3	1.0	1.0	0.0	9.0	1.0	53.0	89.0	24.0	24.0003	23.99194
108.34592	3.0	Math	arithmetic	1.0	2.6	1.1521	3.0	n/a	n/a	3	0.0	0.0	1.0	10.0	1.0	53.0	92.0	27.0	27.0007	26.992690000000003
111.3993743	5.0	Instruct	instruct	n/a	5.0	n/a	n/a	n/a	n/a	3	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
116.3993743	2.0	VisualSearchHard	visualSearch	2.0	1.6	1.2393	4.0	12.0	n/a	3	n/a	1.0	0.0	1.0	1.0	53.0	100.0	0.0	0.0218743	-0.009391572
118.37871000000001	2.0	VisualSearchHard	visualSearch	2.0	1.6	0.91287	4.0	12.0	n/a	3	n/a	1.0	0.0	2.0	1.0	53.0	102.0	2.0	2.00121	1.990241
120.37925	2.0	VisualSearchHard	visualSearch	2.0	1.6	1.1203	4.0	12.0	n/a	3	n/a	1.0	0.0	3.0	1.0	53.0	104.0	4.0	4.00175	3.991416000000001
122.37778	2.0	VisualSearchHard	visualSearch	2.0	1.6	1.1105	4.0	12.0	n/a	3	n/a	1.0	0.0	4.0	1.0	53.0	106.0	6.0	6.00028	5.990353
124.37778	2.0	VisualSearchHard	visualSearch	1.0	1.6	0.56014	4.0	12.0	n/a	3	n/a	1.0	0.0	5.0	1.0	53.0	108.0	8.0	8.00028	7.990991
126.379	2.0	VisualSearchMed	visualSearch	2.0	1.6	0.69607	4.0	8.0	n/a	3	n/a	1.0	0.0	6.0	1.0	53.0	110.0	10.0	10.0015	9.990602
128.3789	2.0	VisualSearchMed	visualSearch	1.0	1.6	0.48303	4.0	8.0	n/a	3	n/a	1.0	0.0	7.0	1.0	53.0	112.0	12.0	12.0014	11.99222
130.3784	2.0	VisualSearchMed	visualSearch	2.0	1.6	0.79465	4.0	8.0	n/a	3	n/a	1.0	0.0	8.0	1.0	53.0	114.0	14.0	14.0009	13.99036
