onset	duration	trial_type	taskName	trialType	trialDur	response_time	blockNum	setSize	possCorr	boldRun	condition	numCorr	numErr	numTrial	respMade	runNum	startTRreal	startTime	startTimeReal	timeOfTR
6.00833285	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
11.00833285	5.0	SpatialMapEasy	spatialMap	n/a	4.8	0.31946	1.0	1.0	n/a	1	1.0	1.0	0.0	1.0	1.0	59.0	12.0	0.0	0.00780385	-0.00505834
16.001759	5.0	SpatialMapEasy	spatialMap	n/a	4.8	0.23737	1.0	1.0	n/a	1	1.0	1.0	0.0	2.0	1.0	59.0	17.0	5.0	5.0012300000000005	4.995977
21.001429	5.0	SpatialMapMed	spatialMap	n/a	4.8	0.95385	1.0	4.0	n/a	1	2.0	1.0	0.0	3.0	1.0	59.0	22.0	10.0	10.0009	9.994638
26.002729	5.0	SpatialMapMed	spatialMap	n/a	4.8	0.90519	1.0	4.0	n/a	1	2.0	1.0	0.0	4.0	1.0	59.0	27.0	15.0	15.0022	14.994229999999998
31.000628999999996	5.0	SpatialMapHard	spatialMap	n/a	4.8	1.0455	1.0	7.0	n/a	1	3.0	1.0	0.0	5.0	1.0	59.0	32.0	20.0	20.0001	19.99445
36.001428999999995	5.0	SpatialMapHard	spatialMap	n/a	4.8	1.0018	1.0	7.0	n/a	1	3.0	0.0	1.0	6.0	1.0	59.0	37.0	25.0	25.0009	24.99567
41.29988441	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
46.29988441	30.0	LandscapeMovie	landscapeMovie	n/a	29.9	n/a	2.0	n/a	n/a	1	1.0	n/a	n/a	1.0	n/a	59.0	47.0	0.0	0.00077441	-0.1117518
76.32105194	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
81.32105194	5.0	RespAltHard	respAlt	n/a	4.8	0.24184	3.0	4.0	n/a	1	3.0	1.0	0.0	1.0	1.0	59.0	58.0	0.0	0.00746194	-0.003120967
86.31443	5.0	RespAltHard	respAlt	n/a	4.8	0.42213	3.0	4.0	n/a	1	3.0	1.0	0.0	2.0	1.0	59.0	63.0	5.0	5.00084	4.995638
91.31499	5.0	RespAltMed	respAlt	n/a	4.8	0.13789	3.0	2.0	n/a	1	2.0	1.0	0.0	3.0	1.0	59.0	68.0	10.0	10.0014	9.99624
96.31469	5.0	RespAltMed	respAlt	n/a	4.8	0.25469	3.0	2.0	n/a	1	2.0	1.0	0.0	4.0	1.0	59.0	73.0	15.0	15.0011	14.99537
101.31579	5.0	RespAltEasy	respAlt	n/a	4.8	0.14872	3.0	1.0	n/a	1	1.0	1.0	0.0	5.0	1.0	59.0	77.0	20.0	20.0022	19.99455
106.31539	5.0	RespAltEasy	respAlt	n/a	4.8	0.20551	3.0	1.0	n/a	1	1.0	1.0	0.0	6.0	1.0	59.0	82.0	25.0	25.0018	24.99498
111.278202438	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
116.278202438	15.0	VideoActions	actionObservation2	n/a	14.0	n/a	4.0	n/a	n/a	1	1.0	n/a	n/a	1.0	n/a	59.0	92.0	0.0	0.000102438	-0.05699266
131.31619999999998	15.0	VideoKnots	actionObservation2	n/a	14.0	n/a	4.0	n/a	n/a	1	2.0	n/a	n/a	2.0	n/a	59.0	106.0	15.0	15.0381	13.96104
146.409282955	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
151.409282955	30.0	PermutedRules	CPRO	1.0	7.2	0.8926799999999999	5.0	n/a	n/a	1	1.0	1.0	0.0	1.0	1.0	59.0	125.0	0.0	8.2955e-05	-0.007312439
158.91036	30.0	PermutedRules	CPRO	1.0	7.2	0.55081	5.0	n/a	n/a	1	1.0	1.0	0.0	2.0	1.0	59.0	132.0	7.5	7.50116	6.997062
166.4108	30.0	PermutedRules	CPRO	2.0	7.2	0.46351	5.0	n/a	n/a	1	1.0	1.0	0.0	3.0	1.0	59.0	140.0	15.0	15.0016	14.99251
173.9092	30.0	PermutedRules	CPRO	2.0	7.2	0.58036	5.0	n/a	n/a	1	1.0	1.0	0.0	4.0	1.0	59.0	147.0	22.5	22.5	21.99291
181.15774167	5.0	Instruct	instruct2	n/a	5.0	n/a	n/a	n/a	n/a	1	n/a	n/a	n/a	0.0	n/a	n/a	n/a	n/a	n/a	n/a
